date,question,committee,project,responsible,attendees
2025-06-04,Posėdžio darbotvarkės tvirtinimas,Valstybės valdymo ir savivaldybių komitetas,,K.  BiliusK.  Šimkutė,
2025-06-04,"Seimo nutarimo „Dėl Lietuvos Respublikos 2024 metų valstybės metinių ataskaitų rinkinio patvirtinimo“ projektas Kviečiami dalyvauti: ​1. Finansų ministerija, 2. Vidaus reikalų ministerija, 3. Valstybės kontrolė.",Valstybės valdymo ir savivaldybių komitetas,XVP-453,T.  BarauskasR.  JuškaR.  Mačiulytė,
2025-06-04,Ataskaitų išklausymas,Valstybės valdymo ir savivaldybių komitetas,2025 m. gegužės 15 d. valstybinio audito ataskaita Nr. FAE-2 „2024 metų valstybės ataskaitų rinkinio finansinio audito rezultatai“Kviečiami dalyvauti:​1. Valstybės kontrolė.,,
2025-06-04,Nevyriausybinių organizacijų plėtros įstatymo Nr. XII-717 10 straipsnio pakeitimo įstatymo projektas Kviečiami dalyvauti: ​1. Seimo narys Andrius Bagdonas; 2. Socialinės apsaugos ir darbo ministerija; 3. Finansų ministerija; 4. Nacionalinė NVO koalicija; 5. NVO teisės institutas.,Valstybės valdymo ir savivaldybių komitetas,XII-717,M.  KatelynasA.  PetrošiusG.  Lukošiūnienė,
2025-06-04,"Rinkimų kodekso patvirtinimo, įsigaliojimo ir įgyvendinimo konstitucinio įstatymo Nr. XIV-1381 79 ir 80 straipsnių pakeitimo įstatymo projektas Kviečiami dalyvauti: 1. Vyriausioji rinkimų komisija; 2. Valstybinė duomenų apsaugos inspekcija; 3. Teisingumo ministerija; 4. Seimo narys Viktoras Fiodorovas.",Valstybės valdymo ir savivaldybių komitetas,XIV-1381,T.  BarauskasR.  JuškaR.  Mačiulytė,
2025-06-04,Rinkimų kodekso 89 straipsnio pakeitimo įstatymo projektas Kviečiami dalyvauti: ​1. Vyriausioji rinkimų komisija; 2. Teisingumo ministerija; 3. Seimo narys Antanas Nedzinskas.,Valstybės valdymo ir savivaldybių komitetas,XVP-41,T.  BarauskasR.  JuškaR.  Mačiulytė,
2025-06-04,Kiti klausimai,Valstybės valdymo ir savivaldybių komitetas,,K.  BiliusK.  Šimkutė,
2025-06-02,Posėdžio darbotvarkės tvirtinimas,Valstybės valdymo ir savivaldybių komitetas,,K.  BiliusK.  Šimkutė,
2025-06-02,Valstybės gynybos fondo įstatymo Nr. XIV-2775 2 ir 4 straipsnių pakeitimo įstatymo projektas Kviečiami dalyvauti: ​1. Lietuvos savivaldybių asociacija; 2. Finansų ministerija; 3. Seimo narė Gintarė Skaistė.,Valstybės valdymo ir savivaldybių komitetas,XIV-2775,K.  BiliusV.  ŠeršniovasM.  KatelynasD.  MasaitienėG.  Lukošiūnienė,
2025-06-02,"Nekilnojamojo turto mokesčio įstatymo Nr. X-233 pakeitimo įstatymo projektas (nauja redakcija) Kviečiami dalyvauti: ​1. Lietuvos savivaldybių asociacija; 2. Finansų ministerija;​ 3. Seimo nariai: Algirdas Sysas, Arūnas Skardžius, Bronis Ropė, Gintarė Skaistė, Karolis Neimantas, Martynas Gedvilas, Tomas Tomilinas, Viktoras Fiodorovas.",Valstybės valdymo ir savivaldybių komitetas,X-233,K.  BiliusV.  ŠeršniovasM.  KatelynasD.  MasaitienėG.  Lukošiūnienė,
2025-06-02,Kiti klausimai,Valstybės valdymo ir savivaldybių komitetas,,K.  BiliusK.  Šimkutė,
2025-05-21,Posėdžio darbotvarkės tvirtinimas,Valstybės valdymo ir savivaldybių komitetas,,K.  BiliusK.  Šimkutė,
2025-05-21,"Valstybės ir savivaldybių turto valdymo, naudojimo ir disponavimo juo įstatymo Nr. VIII-729 pakeitimo įstatymo projektas (nauja redakcija) Kviečiami dalyvauti: ​1. Finansų ministerija; 2. Lietuvos savivaldybių asociacija; 3. Seimo Audito komitetas.",Valstybės valdymo ir savivaldybių komitetas,VIII-729,S.  LuščikasR.  JuškaD.  Pukytė,
2025-05-21,Papildomas (svarstymas),Valstybės valdymo ir savivaldybių komitetas,"Valstybės ir savivaldybių turto valdymo, naudojimo ir disponavimo juo įstatymo Nr. VIII-729 5, 6, 10, 12, 14, 15, 16, 19, 20, 21, 24 straipsnių pakeitimo ir 18 straipsnio pripažinimo netekusiu galios įstatymo Nr. XIII-2398 13 straipsnio pakeitimo įstatymo projektas",,
2025-05-21,Papildomas (svarstymas),Valstybės valdymo ir savivaldybių komitetas,"Valstybei ir savivaldybėms priklausančių akcijų privatizavimo įstatymo Nr. VIII-480 2, 4, 5, 6, 7, 10, 11, 13, 14 ir 22 straipsnių pakeitimo įstatymo projektas",,
2025-05-21,Papildomas (svarstymas),Valstybės valdymo ir savivaldybių komitetas,"Žemės įstatymo Nr. I-446 7, 9 ir 11 straipsnių pakeitimo įstatymo projektas",,
2025-05-21,Kiti klausimai,Valstybės valdymo ir savivaldybių komitetas,,K.  BiliusK.  Šimkutė,
2025-05-21,Savivaldybių pasirengimas ekstremalioms situacijoms ar karo metui ( uždaras ) Kviečiami dalyvauti: 1. Nacionalinis krizių valdymo centras; 2. Vidaus reikalų ministerija; 3. Priešgaisrinės apsaugos ir gelbėjimo departamentas prie VRM; 4. Mobilizacijos ir pilietinio pasipriešinimo departamentas prie KAM; 5. Lietuvos savivaldybių asociacija.​,Valstybės valdymo ir savivaldybių komitetas,,K.  BiliusV.  RakutisD.  Masaitienė,
2025-05-07,Posėdžio darbotvarkės tvirtinimas,Valstybės valdymo ir savivaldybių komitetas,,K.  BiliusK.  Šimkutė,
2025-05-07,"Mobilizacijos ir priimančiosios šalies paramos įstatymo Nr. I-1623 8, 10 ir 14 straipsnių pakeitimo įstatymo projektas Kviečiami dalyvauti: ​1. Seimo narė Dovilė Šakalienė; 2. Krašto apsaugos ministerija; 3. Vidaus reikalų ministerija; 4. Lietuvos savivaldybių asociacija.",Valstybės valdymo ir savivaldybių komitetas,I-1623,V.  TurauskaitėV.  RakutisA.  Balčiūnaitytė,
2025-05-07,Viešojo valdymo sektoriaus darbuotojų įsitraukimo tyrimo rezultatų pristatymas Kviečiami dalyvauti: ​Vidaus reikalų ministerija.,Valstybės valdymo ir savivaldybių komitetas,,K.  BiliusA.  Balčiūnaitytė,
2025-05-07,Seimo nutarimo „Dėl Lietuvos Respublikos vyriausiosios rinkimų komisijos sudarymo“ projektas Kviečiami dalyvauti: ​ 1 . Kandidatė į VRK pirmininkes Lina Petronienė ​; 2. Kandidatai į VRK narius: Jolita Baušytė; Giedrius Janauskas; Edita Karčiauskienė; Olga Kilkinova; Laura Martinaitytė; Laura Matjošaitytė; Gitana Matiekuvienė; Justas Pankauskas; Maksimas Reznikovas; Agnė Silickienė; Birutė Strimaitytė; Andrius Vaišnys.,Valstybės valdymo ir savivaldybių komitetas,XVP-383,K.  BiliusR.  JuškaR.  Mačiulytė,
2025-05-07,Kiti klausimai,Valstybės valdymo ir savivaldybių komitetas,,K.  BiliusK.  Šimkutė,
2025-04-30,Posėdžio darbotvarkės tvirtinimas,Valstybės valdymo ir savivaldybių komitetas,,K.  BiliusK.  Šimkutė,
2025-04-30,"Melioracijos įstatymo Nr. I-323 2, 7, 9 straipsnių pakeitimo ir Įstatymo papildymo VI skyriumi įstatymo projektas Kviečiami dalyvauti: 1. ​Žemės ūkio ministerija; 2. Seimo narys Simonas Gentvilas.",Valstybės valdymo ir savivaldybių komitetas,I-323,K.  BiliusV.  RakutisD.  Pukytė,
2025-04-30,Vyriausiosios rinkimų komisijos veiklos ataskaita apie 2024 m. spalio 13 d. Lietuvos Respublikos Seimo rinkimus. Kviečiami dalyvauti: ​Vyriausioji rinkimų komisija.,Valstybės valdymo ir savivaldybių komitetas,,K.  BiliusR.  Mačiulytė,
2025-04-30,Kiti klausimai,Valstybės valdymo ir savivaldybių komitetas,,K.  BiliusK.  Šimkutė,
2025-04-16,Posėdžio darbotvarkės tvirtinimas,Valstybės valdymo ir savivaldybių komitetas,,K.  BiliusK.  Šimkutė,
2025-04-16,"2024 m. gruodžio 17 d. išorinių peržiūrų apibendrinimo ataskaita Nr. IPE-12 Savivaldybių kontrolės ir audito tarnybų atliktų auditų išorinių peržiūrų rezultatai Kviečiami dalyvauti: 1. Valstybės kontrolė; 2. Savivaldybių
kontrolierių asociacija.",Valstybės valdymo ir savivaldybių komitetas,IPE-12,V.  TurauskaitėA.  Balčiūnaitytė,
2025-04-16,Seimo Kanceliarijos Teisės departamento veiklos pristatymas Kviečiami dalyvauti: ​Seimo Kanceliarijos Teisės departamento​ direktorius Dainius Zebleckis.,Valstybės valdymo ir savivaldybių komitetas,,K.  BiliusK.  Šimkutė,
2025-04-16,Kiti klausimai,Valstybės valdymo ir savivaldybių komitetas,,K.  BiliusK.  Šimkutė,
