date,question,committee,project,responsible,attendees
2025-05-21,"Švietimas kaip valstybės pažangos veiksnys: strateginė vizija Kviečiami dalyvauti: ​ Lietuvos Respublikos švietimo, mokslo ir sporto ministrė Raminta Popovienė Vilniaus universiteto Tarptautinių santykių ir politikos mokslų instituto vyresnioji mokslo darbuotoja Nerija Putinaitė VšĮ „Švietimas numeris vienas“ vadovė Laura Masiliauskaitė Tarptautinė švietimo ekspertė, pasaulinės iniciatyvos „Think Equal“ vyresnioji tarptautinė patarėja Lina Benetė „EdTech Lietuva“ valdybos narys Šarūnas Dignaitis​ Lietuvos Respublikos Prezidento Švietimo, mokslo ir kultūros grupės vadovė, vyriausioji patarėja Jolanta Karpavičienė Lietuvos Respublikos Ministro Pirmininko patarėjas švietimo, inovacijų ir infrastruktūros klausimais Marius Skarupskas Vyriausybės kanceliarijos Strateginio valdymo grupės patarėja Modesta Kairytė",Švietimo ir mokslo komitetas,,A.  Jakavičiutė-MiliauskienėL.  KazlavickasG.  ViliūnasA.  GrigienėL.  Vingrytė,
2025-05-21,Posėdžio darbotvarkės tvirtinimas,Švietimo ir mokslo komitetas,,V.  AleknavičienėL.  Vingrytė,
2025-05-21,Seimo nutarimo „Dėl Lietuvos Respublikos Seimo 2011 m. birželio 23 d. nutarimo Nr. XI-1536 „Dėl Vilniaus dailės akademijos statuto patvirtinimo“ pakeitimo“ projektui (nauja redakcija),Švietimo ir mokslo komitetas,XI-1536,G.  DrukteinisL.  KazlavickasR.  Steponėnienė,
2025-05-21,Labdaros ir paramos įstatymo Nr. I-172 7 straipsnio 1(1) dalies pakeitimo įstatymo projektas,Švietimo ir mokslo komitetas,I-172,D.  VarnasS.  KairysD.  Žegunė,
2025-05-21,Socialinės paramos mokiniams įstatymo Nr. X-686 5 straipsnio pakeitimo įstatymo projektas,Švietimo ir mokslo komitetas,X-686,A.  Jakavičiutė-MiliauskienėR.  Morkūnaitė-MikulėnienėL.  Vingrytė,
2025-05-21,Lietuvių kalbos mokymosi galimybių užtikrinimas užsieniečiams Lietuvoje (pasirengimas įgyvendinti Valstybinės kalbos įstatymo pakeitimus).,Švietimo ir mokslo komitetas,,V.  AleknavičienėJ.  Varžgalytė-Tiažkijienė,
2025-05-21,"Dėl Lietuvos mokslų akademijos 2024 metų veiklos ataskaitos
Pristato LMA prezidentas Jūras Banys",Švietimo ir mokslo komitetas,,V.  AleknavičienėL.  KazlavickasR.  Steponėnienė,
2025-05-21,Kiti klausimai,Švietimo ir mokslo komitetas,,V.  AleknavičienėL.  Vingrytė,
2025-05-14,Posėdžio darbotvarkės tvirtinimas,Švietimo ir mokslo komitetas,,V.  AleknavičienėL.  Vingrytė,
2025-05-14,"Kultūrinis ugdymas Lietuvos švietimo sistemoje: Tūkstantmečio mokyklų programoje numatytos kultūrinio ugdymo veiklos, neformaliojo vaikų švietimo bei formalųjį švietimą papildančios iniciatyvos, vasaros stovyklos (Kultūros paso programos įgyvendinimas aptartas ankstesniame posėdyje)",Švietimo ir mokslo komitetas,,S.  KairysD.  Žegunė,
2025-05-14,Aukštojo mokslo socialinė dimensija įgyvendinant antrąją konkursinę eilę,Švietimo ir mokslo komitetas,,V.  AleknavičienėR.  Steponėnienė,
2025-05-14,Kiti klausimai,Švietimo ir mokslo komitetas,,V.  AleknavičienėL.  Vingrytė,
2025-05-09,"Švietimo įstatymo Nr. I-1489 23-1, 59 ir 60 straipsnių pakeitimo įstatymo projektas",Švietimo ir mokslo komitetas,I-1489,J.  NarkevičA.  Jakavičiutė-MiliauskienėL.  Vingrytė,
2025-05-09,Švietimo įstatymo Nr. I-1489 43 straipsnio pakeitimo įstatymo projektas,Švietimo ir mokslo komitetas,I-1489,J.  NarkevičA.  Jakavičiutė-MiliauskienėL.  Vingrytė,
2025-05-07,Posėdžio darbotvarkės tvirtinimas,Švietimo ir mokslo komitetas,,V.  AleknavičienėL.  Vingrytė,
2025-05-07,"Dėl mokyklų vadovų atrankos proceso
Pristato Švietimo, mokslo ir sporto viceministras J. Petkevičius",Švietimo ir mokslo komitetas,,S.  KairysL.  Vingrytė,
2025-05-07,"Seimo nutarimo „Dėl Lietuvos Respublikos Seimo 1997 m. gegužės 6 d. nutarimo Nr.VIII-213 ""Dėl Jaunimo ir sporto reikalų komisijos nuostatų patvirtinimo“ pakeitimo“ projektas (nauja redakcija)",Švietimo ir mokslo komitetas,VIII-213,L.  KazlavickasM.  PoškusR.  Steponėnienė,
2025-05-07,Profesinio mokymo įstatymo Nr. VIII-450 papildymo 13-1 straipsniu įstatymo projektas,Švietimo ir mokslo komitetas,VIII-450,L.  KazlavickasI.  BraziulienėD.  Žegunė,
2025-05-07,Seimo nutarimo „Dėl Lietuvos Respublikos Seimo 2011 m. birželio 23 d. nutarimo Nr. XI-1536 „Dėl Vilniaus dailės akademijos statuto patvirtinimo“ pakeitimo“ projektui (nauja redakcija),Švietimo ir mokslo komitetas,XI-1536,V.  AleknavičienėR.  Steponėnienė,
2025-05-07,Kiti klausimai,Švietimo ir mokslo komitetas,,V.  AleknavičienėL.  Vingrytė,
