date,question,committee,project_id,responsible_actor,invited_presenters
2025-04-30,Lietuvos pažanga ir iššūkiai lyčių lygybės srityje. JT Konvencijos dėl visų formų diskriminacijos panaikinimo moterims (CEDAW) priežiūros Komiteto pateiktų rekomendacijų įgyvendinimo stebėsena,Žmogaus teisių komitetas,,L.  ŠedvydisE.  GentvilasR.  Ragaliauskienė,
2025-04-30,Dėl konferencijos „Karo trauma ir moterų žmogaus teisių apsauga: Moterų žmogaus teisės Lietuvoje 2024“ rezoliucijoje pateiktų siūlymų įgyvendinimo tikslingumo,Žmogaus teisių komitetas,,L.  ŠedvydisE. G.  GibėR.  Ragaliauskienė,
2025-04-30,Kiti klausimai. Dėl kito komiteto posėdžio darbotvarkės.,Žmogaus teisių komitetas,,L.  ŠedvydisJ.  Savickienė,
2025-04-16,Posėdžio darbotvarkės tvirtinimas,Žmogaus teisių komitetas,,L.  ŠedvydisJ.  Savickienė,
2025-04-16,Seimo kontrolierių įstaigos 2024 m. veiklos ataskaitos pristatymas,Žmogaus teisių komitetas,,L.  ŠedvydisE.  GentvilasJ.  SavickienėI.  Strazdė,
2025-04-16,Gyventojų registro įstatymo Nr. I-2237 9 ir 11 straipsnių pakeitimo įstatymo projektas,Žmogaus teisių komitetas,XVP-167,L.  ŠedvydisM.  MaldeikisI.  Strazdė,
2025-04-16,Kiti klausimai,Žmogaus teisių komitetas,,L.  ŠedvydisJ.  Savickienė,
2025-04-09,Posėdžio darbotvarkės tvirtinimas,Žmogaus teisių komitetas,,L.  ŠedvydisJ.  Savickienė,
2025-04-09,Lygių galimybių kontrolieriaus tarnybos 2024 m. veiklos ataskaitos pristatymas,Žmogaus teisių komitetas,,L.  ŠedvydisR.  Ragaliauskienė,
2025-04-09,Gyventojų registro įstatymo Nr. I-2237 9 ir 11 straipsnių pakeitimo įstatymo projektas,Žmogaus teisių komitetas,XVP-167,L.  ŠedvydisM.  MaldeikisI.  Strazdė,
2025-04-09,Darbo kodekso 138 straipsnio pakeitimo įstatymo projektas,Žmogaus teisių komitetas,XVP-184,,
2025-04-09,Kiti klausimai. Dėl kito komiteto posėdžio darbotvarkės.,Žmogaus teisių komitetas,,L.  ŠedvydisJ.  Savickienė,
2025-03-26,Posėdžio darbotvarkės tvirtinimas,Žmogaus teisių komitetas,,L.  ŠedvydisJ.  Savickienė,
2025-03-26,Žvalgybos kontrolieriaus įstaigos 2024 m. veiklos ataskaitos pristatymas,Žmogaus teisių komitetas,,L.  ŠedvydisI.  Strazdė,
2025-03-26,Vaiko teisių apsaugos pagrindų įstatymo Nr. I-1234 30 straipsnio ir 36-4 straipsnio pakeitimo įstatymo projektas,Žmogaus teisių komitetas,XVP-132(2),L.  ŠedvydisA.  NedzinskasE. G.  Gibė,
2025-03-26,Vaiko teisių apsaugos pagrindų įstatymo Nr. I-1234 30 straipsnio pakeitimo įstatymo projektas,Žmogaus teisių komitetas,XVP-147,L.  ŠedvydisA.  NedzinskasE. G.  Gibė,
