date,question,committee,project,responsible,attendees
2025-06-25,Pagrindinis (pasiūlymų svarstymas),Ekonomikos komitetas,"Teisės departamento (2025-06-20) išvada Planuojamos ūkinės veiklos poveikio aplinkai vertinimo įstatymo  Nr. I-1495 2, 3, 8, 11, 12 straipsnių, 1, 2 ir 3 priedų pakeitimo įstatymo projektuiKviečiami dalyvauti:​Energetikos ministerijos atstovai",,
2025-06-25,"Elektros energetikos įstatymo Nr. VIII-1881 2, 6, 7, 9, 16, 17, 21-1, 22, 22-1, 31, 35, 39, 39-1, 40-1, 41-1, 46, 46-2, 46-3, 47, 48, 48-2, 48-3, 48-4, 51, 52, 52-1, 61, 61-1, 61-2, 67, 69, 73-2, 76 straipsnių, priedo pakeitimo ir Įstatymo papildymo 61-2 straipsniu įstatymo projektas",Ekonomikos komitetas,VIII-1881,,
2025-06-25,Pagrindinis (pasirengimas svarstymui),Ekonomikos komitetas,"Energetikos įstatymo Nr. IX-884 16-1, 34 straipsnių ir priedo pakeitimo įstatymo projektas",,
2025-06-25,"Tabako, tabako gaminių ir su jais susijusių gaminių kontrolės įstatymo Nr. I-1143 17-1 ir 18 straipsnių pakeitimo įstatymo projektas",Ekonomikos komitetas,I-1143,,
2025-06-25,Kiti klausimai,Ekonomikos komitetas,,S.  BucevičiusR.  Danė,
2025-06-19,Posėdžio darbotvarkės tvirtinimas,Ekonomikos komitetas,,S.  BucevičiusR.  Danė,
2025-06-19,"Seimo nario S. Gentvilo (2025-06-17)   pasiūlymas Žemės įstatymo Nr. I-446 2, 7, 8, 13-1, 23, 37, 42 ir 45 straipsnių pakeitimo įstatymo projektui Kviečiami dalyvauti: ​Seimo narys S. Gentvilas, Ekonomikos ir inovacijų ministerijos, VšĮ „Investuok Lietuvoje“, Aplinkos ministerijos, Vidaus reikalų ministerijos, Krašto apsaugos ministerijos atstovai ​",Ekonomikos komitetas,I-446,J.  RojakaA.  BagdonasL.  Jasiukėnienė,
2025-06-19,"Seimo nario R. Kauno (2025-06-17) pasiūlymas Planuojamos ūkinės veiklos poveikio aplinkai vertinimo įstatymo  Nr. I-1495 2, 3, 8, 11, 12 straipsnių, 1, 2 ir 3 priedų pakeitimo įstatymo projektui Kviečiami dalyvauti: ​Energetikos ministerijos, Aplinkos ministerijos atstovai​",Ekonomikos komitetas,I-1495,B.  VėsaitėD.  KreivysL.  Jasiukėnienė,
2025-06-19,"Teisės departamento (2025-06-18) išvada Turizmo įstatymo Nr. VIII-667 5, 6, 7, 10, 11, 12, 14, 15, 19, 21, 24, 28, 30, 30-1, 31, 33, 35, 36, 40, 41 ir 43 straipsnių pakeitimo įstatymo projektui",Ekonomikos komitetas,VIII-667,B.  VėsaitėJ.  RojakaA.  BagdonasI.  Jurkšuvienė,
2025-06-19,Valstybės ir savivaldybės įmonių įstatymo Nr. I-722 11 straipsnio pakeitimo įstatymo projektas,Ekonomikos komitetas,I-722,T.  SadauskisV.  FiodorovasD.  KreivysD.  Šaltmeris,
