date,question,committee,project,responsible,attendees
2025-06-13,"Poligrafo naudojimo įstatymo Nr. VIII-1906 2, 4, 5, 7, 8, 9 ir 10 straipsnių pakeitimo įstatymo projektas",Nacionalinio saugumo ir gynybos komitetas,VIII-1906,G.  JeglinskasD.  GaižauskasE.  Sinkevičius,
2025-06-13,Dėl šaudyklų ir tirų tinklo plėtros bei naudojimo problemų,Nacionalinio saugumo ir gynybos komitetas,,G.  JeglinskasV.  Kaminskienė,
2025-06-13,Kiti klausimai,Nacionalinio saugumo ir gynybos komitetas,,G.  JeglinskasE.  Sinkevičius,
2025-06-04,Posėdžio darbotvarkės tvirtinimas,Nacionalinio saugumo ir gynybos komitetas,,G.  JeglinskasE.  Sinkevičius,
2025-06-04,Seimo nutarimo „Dėl Lietuvos Respublikos 2024 metų valstybės metinių ataskaitų rinkinio patvirtinimo“ projektas,Nacionalinio saugumo ir gynybos komitetas,XVP-453,G.  JeglinskasV.  Kaminskienė,
2025-06-04,"Lietuvos kariuomenės Rūdninkų karinio poligono įstatymo Nr. XIV-1015 1 straipsnio, 3 straipsnio, 7 straipsnio, III skirsnio pavadinimo pakeitimo, Įstatymo papildymo 8-1 straipsniu ir 10 straipsnio pakeitimo įstatymo projektas",Nacionalinio saugumo ir gynybos komitetas,XIV-1015,G.  JeglinskasA.  PociusG.  Kazėnas,
2025-06-04,"Poligrafo naudojimo įstatymo Nr. VIII-1906 2, 4, 5, 7, 8, 9 ir 10 straipsnių pakeitimo įstatymo projektas",Nacionalinio saugumo ir gynybos komitetas,VIII-1906,G.  JeglinskasD.  GaižauskasE.  Sinkevičius,
2025-06-04,Dėl Lietuvos Respublikos gynybos atašė ir gynybos atašė pavaduotojo kandidatūrų,Nacionalinio saugumo ir gynybos komitetas,,G.  JeglinskasE.  Sinkevičius,
2025-06-04,Kiti klausimai,Nacionalinio saugumo ir gynybos komitetas,,G.  JeglinskasE.  Sinkevičius,
2025-05-28,Posėdžio darbotvarkės tvirtinimas,Nacionalinio saugumo ir gynybos komitetas,,G.  JeglinskasE.  Sinkevičius,
2025-05-28,Dėl gynybos srities įmonių holdingo kūrimo pažangos,Nacionalinio saugumo ir gynybos komitetas,,G.  JeglinskasV.  Kaminskienė,
2025-05-28,Dėl karo komendantūrų sistemos veikimo,Nacionalinio saugumo ir gynybos komitetas,,G.  JeglinskasG.  Kazėnas,
2025-05-28,Laisvės gynėjo teisinio statuso įstatymo Nr. XIV-389 7 straipsnio pakeitimo įstatymo projektas,Nacionalinio saugumo ir gynybos komitetas,XIV-389,G.  JeglinskasA.  PociusG.  Kazėnas,
2025-05-28,Kiti klausimai,Nacionalinio saugumo ir gynybos komitetas,,G.  JeglinskasE.  Sinkevičius,
2025-05-21,Posėdžio darbotvarkės tvirtinimas,Nacionalinio saugumo ir gynybos komitetas,,G.  JeglinskasE.  Sinkevičius,
2025-05-21,"Mobilizacijos ir priimančiosios šalies paramos įstatymo Nr. I-1623 8, 10 ir 14 straipsnių pakeitimo įstatymo projektas",Nacionalinio saugumo ir gynybos komitetas,I-1623,G.  JeglinskasA.  PociusG.  Kazėnas,
2025-05-21,Laisvės gynėjo teisinio statuso įstatymo Nr. XIV-389 7 straipsnio pakeitimo įstatymo projektas,Nacionalinio saugumo ir gynybos komitetas,XIV-389,G.  JeglinskasA.  PociusG.  Kazėnas,
2025-05-21,Valstybės ir tarnybos paslapčių įstatymo Nr. VIII-1443 15 straipsnio pakeitimo įstatymo projektas,Nacionalinio saugumo ir gynybos komitetas,VIII-1443,D.  GaižauskasP.  VisockasE.  Sinkevičius,
2025-05-21,Kiti klausimai,Nacionalinio saugumo ir gynybos komitetas,,G.  JeglinskasE.  Sinkevičius,
