date,question,committee,project,responsible,attendees
2025-05-23,Pagrindinis (klausymai),Socialinių reikalų ir darbo komitetas,"Valstybinio socialinio draudimo įstatymo Nr. I-1336 7, 15 ir 39 straipsnių pakeitimo įstatymo projektas",,
2025-05-23,Pagrindinis (klausymai),Socialinių reikalų ir darbo komitetas,Piniginės socialinės paramos nepasiturintiems gyventojams įstatymo Nr. IX-1675 14 ir 17 straipsnių pakeitimo įstatymo projektas,,
2025-05-23,Papildomas (klausymai),Socialinių reikalų ir darbo komitetas,Gyventojų pajamų mokesčio įstatymo Nr. IX-1007 17 ir 21 straipsnių pakeitimo įstatymo projektas,,
2025-05-21,Posėdžio darbotvarkės tvirtinimas,Socialinių reikalų ir darbo komitetas,,L.  KukuraitisI.  Kuodienė,
2025-05-21,Darbo kodekso 123 straipsnio pakeitimo įstatymo projektas,Socialinių reikalų ir darbo komitetas,XVP-97,D.  RazmislevičiusD.  UlbinaitėE.  Bulotaitė,
2025-05-21,Pagrindinis (svarstymas),Socialinių reikalų ir darbo komitetas,Atmintinų dienų įstatymo Nr. VIII-397 1 straipsnio pakeitimo įstatymo projektas,,
2025-05-21,Biudžetinių įstaigų darbuotojų darbo apmokėjimo ir komisijų narių atlygio už darbą įstatymo Nr. XIII-198 2 priedo pakeitimo įstatymo projektas,Socialinių reikalų ir darbo komitetas,XIII-198,L.  KukuraitisP.  KuzmickienėI.  Kuodienė,
2025-05-21,Dėl Nacionalinės šeimos tarybos 2024 m. veiklos ataskaitos ir tarybos parengto metinio pranešimo,Socialinių reikalų ir darbo komitetas,,L.  KukuraitisA.  Kazlauskienė,
2025-05-21,"Finansinės paskatos pirmąjį būstą įsigyjančioms jaunoms šeimoms įstatymo Nr. XIII-1281 3, 5, 6 ir 9 straipsnių pakeitimo įstatymo projektas",Socialinių reikalų ir darbo komitetas,XIII-1281,,
2025-05-21,Kiti klausimai,Socialinių reikalų ir darbo komitetas,,L.  KukuraitisI.  Kuodienė,
2025-05-14,Posėdžio darbotvarkės tvirtinimas,Socialinių reikalų ir darbo komitetas,,L.  KukuraitisI.  Kuodienė,
2025-05-14,"Užimtumo įstatymo Nr. XII-2470 1, 12, 16, 20, 22, 24, 28, 29, 30, 31, 36, 37, 38, 39-1, 40, 44, 46, 47, 48, 48-1 straipsnių ir priedo pakeitimo ir Įstatymo papildymo 39-2, 39-3 ir 48-2 straipsniais įstatymo Nr. XIV-1106 25 straipsnio pakeitimo įstatymo projektas",Socialinių reikalų ir darbo komitetas,XII-2470; XIV-1106,D.  RazmislevičiusD.  UlbinaitėE.  Bulotaitė,
2025-05-14,"Vyriausybės pateiktų įstatymų projektų, kuriais siūloma pertvarkyti  II pensijų kaupimo pakopą, pristatymas",Socialinių reikalų ir darbo komitetas,,L.  KukuraitisD.  Jonėnienė,
