date,committee,question,project,responsible,attendees
2025-06-04,Ekonomikos komitetas,Pagrindinis (pasiūlymų svarstymas),"Teisės departamento (2025-05-26)  išvada Energetikos įstatymo Nr. IX-884 2, 8 straipsnių ir priedo pakeitimo įstatymo projektuiKviečiami dalyvauti:​Energetikos ministerijos atstovai",,
2025-06-04,Ekonomikos komitetas,Pagrindinis (pasiūlymų svarstymas),"Teisės departamento (2025-05-26)  išvada Šilumos ūkio įstatymo Nr. IX-1565 2, 7, 8, 8-2, 10-2, 29 straipsnių, priedo pakeitimo ir Įstatymo papildymo 8-3 straipsniu įstatymo projektuiKviečiami dalyvauti:​Energetikos ministerijos atstovai",,
2025-06-04,Ekonomikos komitetas,"Seimo nutarimo „Dėl Lietuvos Respublikos 2024 metų valstybės metinių ataskaitų rinkinio patvirtinimo“ projektas Kviečiami dalyvauti: ​Finansų ministerijos, Valstybės kontrolės atstovai",XVP-453,I.  GelažnikienėA.  BagdonasL.  Jasiukėnienė,
2025-06-04,Ekonomikos komitetas,Kiti klausimai,,S.  BucevičiusR.  Danė,
2025-05-23,Ekonomikos komitetas,Posėdžio darbotvarkės tvirtinimas,,S.  BucevičiusR.  Danė,
2025-05-23,Ekonomikos komitetas,"Pelno mokesčio įstatymo Nr. IX-675 5, 17, 18, 30, 33, 34, 35, 38-2 , 41, 43 ir 56-1 straipsnių pakeitimo ir Įstatymo papildymo 30-3 straipsniu įstatymo projektas Kviečiami dalyvauti: ​Finansų ministerijos atstovai, Seimo narys K. Neimantas",IX-675,R.  KaunasA.  NorkienėL.  Jasiukėnienė,
2025-05-23,Ekonomikos komitetas,"Gyventojų pajamų mokesčio įstatymo Nr. IX-1007 6, 13-1, 16, 17, 18, 18-2, 19, 20, 21, 23, 27, 34 ir 35 straipsnių pakeitimo įstatymo projektas Kviečiami dalyvauti: ​Finansų ministerijos atstovai, Seimo nariai: A. Sysas, M. Poškus",IX-1007,R.  KaunasA.  NorkienėL.  Jasiukėnienė,
2025-05-23,Ekonomikos komitetas,"Pensijų kaupimo įstatymo Nr. IX-1691 1, 3, 4, 5, 7, 8, 10, 12, 13, 15, 22, 24, 28, 29, 30, 33, 35-1, 35-2, 35-7, 35-8, 35-9, 35-10, 36, 37 ir 40 straipsnių ir V skyriaus pavadinimo pakeitimo, Įstatymo papildymo 29-1 straipsniu ir 6 straipsnio bei Įstatymo priedo pripažinimo netekusiais galios įstatymo projektas Kviečiami dalyvauti: ​Socialinės apsaugos ir darbo ministerijos atstovai, Seimo narys A. Sysas, Lietuvos pramonininkų konfederacijos, Lietuvos EURAG asociacijos, Lietuvos darbdavių konfederacijos, Lietuvos bankų asociacijos, Lietuvos verslo konfederacijos, Lietuvos investicinių ir pensijų fondų asociacijos, Lietuvos rizikos ir privataus kapitalo asociacijos, Lietuvos laisvosios rinkos instituto, UAB Goindex atstovai ​",IX-1691,R.  SinkevičiusA.  AnušauskasI.  Jurkšuvienė,
2025-05-23,Ekonomikos komitetas,Kiti klausimai,,S.  BucevičiusR.  Danė,
2025-05-15,Ekonomikos komitetas,Posėdžio darbotvarkės tvirtinimas,,S.  BucevičiusR.  Danė,
2025-05-15,Ekonomikos komitetas,"Teisės departamento (2025-05-14) išvada Atsinaujinančių išteklių energetikos įstatymo Nr. XI-1375 3, 22 ir 22-1 straipsnių pakeitimo įstatymo projektui Kviečiami dalyvauti: ​Energetikos ministerijos, Valstybinės energetikos  reguliavimo tarnybos atstovai",XI-1375,S.  BucevičiusB.  VėsaitėV.  FiodorovasL.  Jasiukėnienė,
2025-05-14,Ekonomikos komitetas,Posėdžio darbotvarkės tvirtinimas,,S.  BucevičiusR.  Danė,
2025-05-14,Ekonomikos komitetas,Smulkiojo ir vidutinio verslo plėtros įstatymo Nr. VIII-935 2 ir 3 straipsnių pakeitimo įstatymo projektas Kviečiami dalyvauti: ​Ekonomikos ir inovacijų ministerijos atstovai,VIII-935,B.  VėsaitėR.  KaunasV.  FiodorovasI.  Jurkšuvienė,
2025-05-14,Ekonomikos komitetas,"Vartotojų teisių apsaugos įstatymo Nr. I-657 2 ir 10 straipsnių pakeitimo įstatymo projektas Kviečiami dalyvauti: ​​Ekonomikos ir inovacijų ministerijos,  Lietuvos prekybos įmonių asociacijos, Lietuvos laisvosios rinkos instituto, Lietuvos pramonininkų konfederacijos, Vartotojų aljanso atstovai ​​",I-657,A.  BagdonasZ.  BalčytisI.  Jurkšuvienė,
2025-05-14,Ekonomikos komitetas,Saugiųjų dokumentų ir saugiųjų dokumentų blankų gamybos įstatymo Nr. IX-1601 6 straipsnio pakeitimo įstatymo projektas Kviečiami dalyvauti: ​Vidaus reikalų ministerijos atstovai,IX-1601,T.  SadauskisV.  FiodorovasI.  GelažnikienėD.  Šaltmeris,
2025-05-14,Ekonomikos komitetas,Pagrindinis (svarstymas),Geležinkelių transporto eismo saugos įstatymo Nr. IX-1905 32 straipsnio pakeitimo įstatymo projektasKviečiami dalyvauti:​​Vidaus reikalų ministerijos atstovai​,,
2025-05-14,Ekonomikos komitetas,"Energijos vartojimo efektyvumo didinimo įstatymo Nr. XII- 2702 pakeitimo įstatymo projektas (nauja redakcija) ir lydintieji įstatymo projektai Nr. XVP-236-XVP-242 Kviečiami dalyvauti: ​Energetikos ministerijos, Valstybinės energetikos reguliavimo tarnybos atstovai",XII-; XVP-236-XVP-242,B.  VėsaitėD.  KreivysR. O.  DuburaitėR.  Petkūnienė,
2025-05-14,Ekonomikos komitetas,Pagrindinis (svarstymas),"Energetikos įstatymo Nr. IX-884 2, 8 straipsnių ir priedo pakeitimo įstatymo projektas",,
2025-05-14,Ekonomikos komitetas,Pagrindinis (svarstymas),"Elektros energetikos įstatymo Nr. VIII- 1881 33, 39, 39-1, 48, 67, 70-3, 74-1 straipsnių ir priedo pakeitimo įstatymo  projektas",,
2025-05-14,Ekonomikos komitetas,Pagrindinis (svarstymas),"Gamtinių dujų įstatymo Nr. VIII-1973 7, 9, 31, 37-1 straipsnių ir priedo pakeitimo įstatymo projektas",,
2025-05-14,Ekonomikos komitetas,Pagrindinis (svarstymas),"Šilumos ūkio įstatymo Nr. IX-1565 2, 7, 8, 10-2, 29 straipsnių, priedo pakeitimo ir Įstatymo papildymo 8-3 straipsniu įstatymo projektas",,
2025-05-14,Ekonomikos komitetas,Pagrindinis (svarstymas),Viešųjų pirkimų įstatymo Nr. I-1491 7 priedo pakeitimo įstatymo projektas,,
