date,committee,question,project,responsible,attendees
2025-04-23,Nacionalinio saugumo ir gynybos komitetas,"Asmenų, slapta bendradarbiavusių su buvusios SSRS specialiosiomis tarnybomis, registracijos, prisipažinimo, įskaitos ir prisipažinusiųjų apsaugos įstatymo Nr. VIII-1436 8 straipsnio pakeitimo įstatymo projektas",VIII-1436,J.  OlekasL.  KasčiūnasG.  Kazėnas,
2025-04-23,Nacionalinio saugumo ir gynybos komitetas,"Asmenų, slapta bendradarbiavusių su buvusios SSRS specialiosiomis tarnybomis, registracijos, prisipažinimo, įskaitos ir prisipažinusiųjų apsaugos įstatymo Nr. VIII-1436 8 straipsnio pakeitimo įstatymo projektas",VIII-1436,,
2025-04-23,Nacionalinio saugumo ir gynybos komitetas,Posėdžio darbotvarkės tvirtinimas,,G.  JeglinskasE.  Sinkevičius,
2025-04-23,Nacionalinio saugumo ir gynybos komitetas,"Įstatymo ""Dėl Konvencijos dėl priešpėstinių minų naudojimo, kaupimo, gamybos ir perdavimo uždraudimo ir dėl jų sunaikinimo denonsavimo"" projektas  Nr. XVP-305",XVP-305,G.  JeglinskasM.  Lapinskas,
2025-04-23,Nacionalinio saugumo ir gynybos komitetas,"Seimo nutarimo „Dėl Lietuvos Respublikos Seimo 2023 m. gruodžio 21 d. nutarimo Nr. XIV-2434 „Dėl Lietuvos Respublikos karinių vienetų, karių ir civilių krašto apsaugos sistemos tarnautojų dalyvavimo tarptautinėse operacijose“ pakeitimo“ projektas",XIV-2434,G.  JeglinskasM.  Lapinskas,
2025-04-23,Nacionalinio saugumo ir gynybos komitetas,Dėl karinių poligonų ir karinių mokymo teritorijų plėtros Lietuvoje,,G.  JeglinskasE.  Sinkevičius,
2025-04-23,Nacionalinio saugumo ir gynybos komitetas,Kiti klausimai,,G.  JeglinskasE.  Sinkevičius,
2025-04-16,Nacionalinio saugumo ir gynybos komitetas,Posėdžio darbotvarkės tvirtinimas,,G.  JeglinskasE.  Sinkevičius,
2025-04-16,Nacionalinio saugumo ir gynybos komitetas,"Asmenų, slapta bendradarbiavusių su buvusios SSRS specialiosiomis tarnybomis, registracijos, prisipažinimo, įskaitos ir prisipažinusiųjų apsaugos įstatymo Nr. VIII-1436 8 straipsnio pakeitimo įstatymo projektas",VIII-1436,J.  OlekasL.  KasčiūnasG.  Kazėnas,
2025-04-16,Nacionalinio saugumo ir gynybos komitetas,Dokumentų ir archyvų įstatymo Nr. I-1115 20 straipsnio pakeitimo įstatymo projektas,I-1115,J.  OlekasL.  KasčiūnasG.  Kazėnas,
2025-04-16,Nacionalinio saugumo ir gynybos komitetas,Ginklų ir šaudmenų kontrolės įstatymo Nr. IX-705 19 ir 23 straipsnių pakeitimo įstatymo projektas,IX-705,G.  JeglinskasA.  PociusV.  Kaminskienė,
2025-04-16,Nacionalinio saugumo ir gynybos komitetas,"Ginklų ir šaudmenų kontrolės įstatymo Nr. IX-705 3, 13, 23, 24, 37, 41 ir 42 straipsnių pakeitimo įstatymo projektas",IX-705,G.  JeglinskasA.  PociusV.  Kaminskienė,
2025-04-16,Nacionalinio saugumo ir gynybos komitetas,Ribojamųjų priemonių dėl karinės agresijos prieš Ukrainą nustatymo įstatymo Nr. XIV-1888 4 ir 5 straipsnių pakeitimo įstatymo projektas,XIV-1888,G.  JeglinskasL.  KasčiūnasV.  Greckaitė,
2025-04-16,Nacionalinio saugumo ir gynybos komitetas,"Seimo nutarimo „Dėl Lietuvos Respublikos Seimo 2023 m. birželio 1 d. nutarimo Nr. XIV-2029 „Dėl Viešųjų objektų atitikties totalitarinių, autoritarinių režimų ir jų ideologijų propagavimo juose draudimui vertinimo tarpinstitucinės komisijos nuostatų patvirtinimo“ pakeitimo“ projektas",XIV-2029,T.  MartinaitisV.  SinicaG.  Kazėnas,
2025-04-16,Nacionalinio saugumo ir gynybos komitetas,Kiti klausimai,,G.  JeglinskasE.  Sinkevičius,
2025-04-09,Nacionalinio saugumo ir gynybos komitetas,Posėdžio darbotvarkės tvirtinimas,,G.  JeglinskasE.  Sinkevičius,
2025-04-09,Nacionalinio saugumo ir gynybos komitetas,Seimo nutarimo „Dėl pritarimo skirti Remigijų Bridikį Lietuvos Respublikos valstybės saugumo departamento direktoriumi“ projektas,XVP-259,G.  JeglinskasE.  Sinkevičius,
2025-04-09,Nacionalinio saugumo ir gynybos komitetas,Kiti klausimai,,G.  JeglinskasE.  Sinkevičius,
