date,committee,question,project,responsible,attendees
2025-06-13,Socialinių reikalų ir darbo komitetas,Pagrindinis (pasirengimas svarstymui),Gyventojų pajamų mokesčio įstatymo Nr. IX-1007 17 straipsnio 1 dalies pakeitimo įstatymo projektas,,
2025-06-13,Socialinių reikalų ir darbo komitetas,Pagrindinis (svarstymas),"Pensijų kaupimo įstatymo Nr. IX-1691 3, 4, 5, 7, 29, 30 ir 31 straipsnių pakeitimo įstatymo projektas",,
2025-06-13,Socialinių reikalų ir darbo komitetas,Pagrindinis (svarstymas),"Pensijų kaupimo įstatymo Nr. IX-1691 4, 5, 6, 22, 29, 30, 32, 33 straipsnių pakeitimo ir papildymo 5-1 straipsniu įstatymo projektas",,
2025-06-13,Socialinių reikalų ir darbo komitetas,Pagrindinis (svarstymas),Pensijų kaupimo įstatymo Nr. IX-1691 5 ir 6 straipsnių pakeitimo įstatymo projektas,,
2025-06-13,Socialinių reikalų ir darbo komitetas,Pagrindinis (svarstymas),Pensijų kaupimo įstatymo Nr. IX-1691 5 ir 6 straipsnių pakeitimo įstatymo projektas,,
2025-06-13,Socialinių reikalų ir darbo komitetas,Kiti klausimai,,L.  KukuraitisI.  Kuodienė,
2025-06-11,Socialinių reikalų ir darbo komitetas,Posėdžio darbotvarkės tvirtinimas,,L.  KukuraitisI.  Kuodienė,
2025-06-11,Socialinių reikalų ir darbo komitetas,Valstybinio socialinio draudimo įstatymo Nr. I-1336 32 straipsnio pakeitimo ir Įstatymo papildymo 40-1 straipsniu įstatymo projektas,I-1336,L.  KukuraitisP.  KuzmickienėD.  Jonėnienė,
2025-06-11,Socialinių reikalų ir darbo komitetas,Socialinės paramos mokiniams įstatymo Nr. X-686 5 straipsnio pakeitimo įstatymo projektas,X-686,D.  RazmislevičiusE.  RudelienėA.  Kazlauskienė,
2025-06-11,Socialinių reikalų ir darbo komitetas,Dėl Valstybės vaiko teisių apsaugos ir įvaikinimo tarnybos prie Socialinės apsaugos ir darbo ministerijos 2024 m. veiklos ataskaitos ir dėl vaiko teisių apsaugos kontrolieriaus 2024 m. veiklos ataskaitos,,L.  KukuraitisA.  Kazlauskienė,
2025-06-11,Socialinių reikalų ir darbo komitetas,Valstybinio socialinio draudimo įstatymo Nr. I-1336 15 straipsnio pakeitimo įstatymo projektas,I-1336,,
2025-06-11,Socialinių reikalų ir darbo komitetas,Pagrindinis (pasirengimas svarstymui),Neįgaliųjų socialinės integracijos įstatymo Nr. I-2044 pakeitimo įstatymo Nr. XIV-1722 3 straipsnio pakeitimo įstatymo projektas,,
2025-06-11,Socialinių reikalų ir darbo komitetas,Pagrindinis (pasirengimas svarstymui),"Valstybinio socialinio draudimo įstatymo Nr. I-1336 12, 13, 14, 15-1, 17, 32, 34 ir 40 straipsnių pakeitimo bei Įstatymo papildymo 12-1 straipsniu įstatymo projektas",,
2025-06-11,Socialinių reikalų ir darbo komitetas,Pagrindinis (pasirengimas svarstymui),"Pensijų kaupimo įstatymo Nr. IX-1691 3, 4, 6, 7, 8, 10, 12, 24, 30, 33 ir 38 straipsnių pakeitimo įstatymo projektas",,
2025-06-11,Socialinių reikalų ir darbo komitetas,Pagrindinis (pasirengimas svarstymui),"Potencialiai pavojingų įrenginių priežiūros įstatymo Nr. I-1324 4, 8, 10 ir 12 straipsnių pakeitimo įstatymo projektas",,
