date,committee,question,project,responsible,attendees
2025-05-07,Švietimo ir mokslo komitetas,Posėdžio darbotvarkės tvirtinimas,,V.  AleknavičienėL.  Vingrytė,
2025-05-07,Švietimo ir mokslo komitetas,Dėl mokyklų vadovų atrankos proceso,,S.  KairysL.  Vingrytė,
2025-05-07,Švietimo ir mokslo komitetas,"Pristato Švietimo, mokslo ir sporto viceministras J. Petkevičius",,S.  KairysL.  Vingrytė,
2025-05-07,Švietimo ir mokslo komitetas,"Seimo nutarimo „Dėl Lietuvos Respublikos Seimo 1997 m. gegužės 6 d. nutarimo Nr.VIII-213 ""Dėl Jaunimo ir sporto reikalų komisijos nuostatų patvirtinimo“ pakeitimo“ projektas (nauja redakcija)",VIII-213,L.  KazlavickasM.  PoškusR.  Steponėnienė,
2025-05-07,Švietimo ir mokslo komitetas,Profesinio mokymo įstatymo Nr. VIII-450 papildymo 13-1 straipsniu įstatymo projektas,VIII-450,L.  KazlavickasI.  BraziulienėD.  Žegunė,
2025-05-07,Švietimo ir mokslo komitetas,Seimo nutarimo „Dėl Lietuvos Respublikos Seimo 2011 m. birželio 23 d. nutarimo Nr. XI-1536 „Dėl Vilniaus dailės akademijos statuto patvirtinimo“ pakeitimo“ projektui (nauja redakcija),XI-1536,V.  AleknavičienėR.  Steponėnienė,
2025-05-07,Švietimo ir mokslo komitetas,Kiti klausimai,,V.  AleknavičienėL.  Vingrytė,
2025-04-30,Švietimo ir mokslo komitetas,"Aktualių klausimų aptarimas su Švietimo, mokslo ir sporto ministerijos vadovybe",,V.  AleknavičienėL.  Vingrytė,
2025-04-30,Švietimo ir mokslo komitetas,"Neformalaus vaikų švietimo situacija: krepšelis, jo prieinamumas, finansavimas, administravimas, skirtumai savivaldybėse",,V.  AleknavičienėD.  Žegunė,
2025-04-30,Švietimo ir mokslo komitetas,Profesinio mokymo įstatymo Nr. VIII-450 papildymo 13-1 straipsniu įstatymo projektas,VIII-450,L.  KazlavickasI.  BraziulienėD.  Žegunė,
2025-04-30,Švietimo ir mokslo komitetas,Profesinio mokymo įstatymo Nr. VIII-450 papildymo 13-1 straipsniu įstatymo projektas,VIII-450,L.  KazlavickasI.  BraziulienėD.  Žegunė,
2025-04-16,Švietimo ir mokslo komitetas,Posėdžio darbotvarkės tvirtinimas,,V.  AleknavičienėL.  Vingrytė,
2025-04-16,Švietimo ir mokslo komitetas,"Seimo nutarimo „Dėl Lietuvos Respublikos Seimo 2021 m. gegužės 13 d. nutarimo Nr. XIV-315 „Dėl 2026 metų paskelbimo Žemaičių vyskupo Motiejaus Kazimiero Valančiaus, Lietuvos radijo ir Lietuvos Helsinkio grupės metais“ pakeitimo"" projektas (nauja redakcija)",XIV-315,I.  BraziulienėR.  Morkūnaitė-MikulėnienėJ.  Varžgalytė-Tiažkijienė,
2025-04-16,Švietimo ir mokslo komitetas,Atmintinų dienų įstatymo Nr. VIII-397 1 straipsnio pakeitimo įstatymo projektas,VIII-397,D.  JakavičiusL.  KazlavickasJ.  Varžgalytė-Tiažkijienė,
2025-04-16,Švietimo ir mokslo komitetas,Atmintinų dienų įstatymo Nr. VIII-397 1 straipsnio pakeitimo įstatymo projektas,VIII-397,D.  JakavičiusL.  KazlavickasJ.  Varžgalytė-Tiažkijienė,
2025-04-16,Švietimo ir mokslo komitetas,"Mokslo ir studijų įstatymo Nr. XI-242 8, 72 straipsnių pakeitimo įstatymo projektas",XI-242,V.  AleknavičienėR.  Steponėnienė,
2025-04-16,Švietimo ir mokslo komitetas,Darbo kodekso 57 straipsnio pakeitimo įstatymo projektas,XVP-156,V.  AleknavičienėR.  Steponėnienė,
2025-04-16,Švietimo ir mokslo komitetas,Sporto įstatymo Nr. I-1151 23 straipsnio pakeitimo įstatymo projektas,I-1151,V.  AleknavičienėJ.  Varžgalytė-Tiažkijienė,
2025-04-16,Švietimo ir mokslo komitetas,Atmintinų dienų įstatymo Nr. VIII-397 1 straipsnio pakeitimo įstatymo projektas,VIII-397,V.  AleknavičienėJ.  Varžgalytė-Tiažkijienė,
2025-04-16,Švietimo ir mokslo komitetas,Atmintinų dienų įstatymo Nr. VIII-397 1 straipsnio pakeitimo įstatymo projektas,VIII-397,V.  AleknavičienėJ.  Varžgalytė-Tiažkijienė,
2025-04-16,Švietimo ir mokslo komitetas,"Seimo nutarimo ""Dėl 2030 metų paskelbimo Vytauto Didžiojo metais"" projektas",XVP-287,V.  AleknavičienėJ.  Varžgalytė-Tiažkijienė,
2025-04-16,Švietimo ir mokslo komitetas,"Seimo nutarimo „Dėl Lietuvos Respublikos Seimo 1997 m. gegužės 6 d. nutarimo Nr.VIII-213 ""Dėl Jaunimo ir sporto reikalų komisijos nuostatų patvirtinimo“ pakeitimo“ projektas (nauja redakcija)",VIII-213,V.  AleknavičienėR.  Steponėnienė,
2025-04-16,Švietimo ir mokslo komitetas,Kiti klausimai,,V.  AleknavičienėL.  Vingrytė,
2025-04-09,Švietimo ir mokslo komitetas,Posėdžio darbotvarkės tvirtinimas,,V.  AleknavičienėK.  VilkauskasL.  VingrytėR.  Varanauskienė,
2025-04-09,Švietimo ir mokslo komitetas,Kultūros paso programa,,A.  Jakavičiutė-MiliauskienėL.  KazlavickasR.  BaškienėV.  JuozapaitisK.  VilkauskasJ.  Varžgalytė-TiažkijienėA.  Jonaitienė,
2025-04-09,Švietimo ir mokslo komitetas,Išvažiuojamasis posėdis į Lietuvos nacionalinę Martyno Mažvydo biblioteką,,A.  Jakavičiutė-MiliauskienėL.  KazlavickasR.  BaškienėV.  JuozapaitisK.  VilkauskasJ.  Varžgalytė-TiažkijienėA.  Jonaitienė,
2025-04-09,Švietimo ir mokslo komitetas,Dėl kultūros ir švietimo sričių integralumo,,V.  AleknavičienėK.  VilkauskasV.  JuozapaitisM.  GureckienėJ.  Varžgalytė-Tiažkijienė,
2025-03-26,Švietimo ir mokslo komitetas,Posėdžio darbotvarkės tvirtinimas,,V.  AleknavičienėL.  Vingrytė,
2025-03-26,Švietimo ir mokslo komitetas,"KOMISIJOS KOMUNIKATAS EUROPOS PARLAMENTUI, TARYBAI, EUROPOS EKONOMIKOS IR SOCIALINIŲ REIKALŲ KOMITETUI IR REGIONŲ KOMITETUI. 2025 m. Komisijos darbo programa","ES-2025-13, COM/2025/45",V.  AleknavičienėJ.  Varžgalytė-Tiažkijienė,
